ABV Range,Count
4.6-5.5%,407489
5.6-6.5%,273249
6.6-7.5%,211706
7.6-8.5%,166093
8.6-9.5%,141450
9.6-10.5%,113161
10.6%+,101337
3.6-4.5%,94971
2.6-3.5%,6573
<2.5%,2800
